locus_id,CHROM,start,end,n_markers
10:59148346-59153155,10,59148346,59153155,16
10:60092033-60092033,10,60092033,60092033,1
10:61786255-61834426,10,61786255,61834426,5
2:2096443-2301513,2,2096443,2301513,5
2:3420187-3493505,2,3420187,3493505,15
2:3891566-3920922,2,3891566,3920922,4
2:5100802-5104395,2,5100802,5104395,2
2:6607927-6737765,2,6607927,6737765,3
2:7131247-7131247,2,7131247,7131247,2
2:8854422-8926705,2,8854422,8926705,11
2:9405764-9493442,2,9405764,9493442,2
2:9998809-10015784,2,9998809,10015784,13
2:10949210-11137298,2,10949210,11137298,2
2:11490014-11491008,2,11490014,11491008,2
2:16439079-16590322,2,16439079,16590322,2
2:17932334-17932334,2,17932334,17932334,1
2:18767828-18767828,2,18767828,18767828,1
2:39435280-39435280,2,39435280,39435280,1
2:52334639-52334639,2,52334639,52334639,1
2:52658925-52705676,2,52658925,52705676,3
2:53091032-53091032,2,53091032,53091032,1
2:55759706-55759706,2,55759706,55759706,1
2:57402639-57402639,2,57402639,57402639,1
2:58338481-58338481,2,58338481,58338481,1
2:58887135-58887135,2,58887135,58887135,1
2:60441547-60624678,2,60441547,60624678,3
2:60838842-60838842,2,60838842,60838842,1
2:61091339-61091339,2,61091339,61091339,1
2:62140710-62145291,2,62140710,62145291,3
2:62930055-62930088,2,62930055,62930088,5
2:63491317-63517587,2,63491317,63517587,20
2:64295086-64450048,2,64295086,64450048,2
2:64714381-64783880,2,64714381,64783880,13
2:65274344-65906142,2,65274344,65906142,36
2:66514947-66514947,2,66514947,66514947,1
2:70224469-70224469,2,70224469,70224469,1
2:78220483-78266025,2,78220483,78266025,5
3:1126092-1126092,3,1126092,1126092,1
3:4324196-4324699,3,4324196,4324699,3
3:7642773-7864559,3,7642773,7864559,12
3:8691957-8856682,3,8691957,8856682,2
3:9516318-9516318,3,9516318,9516318,1
3:9851001-9851001,3,9851001,9851001,1
3:10815367-10815367,3,10815367,10815367,1
3:11167716-11167716,3,11167716,11167716,1
3:11535446-11535446,3,11535446,11535446,1
3:13351472-13351472,3,13351472,13351472,1
3:14104670-14104670,3,14104670,14104670,1
3:14960546-14960546,3,14960546,14960546,1
3:57743819-57743819,3,57743819,57743819,1
3:60003345-60137214,3,60003345,60137214,2
3:60365195-60524657,3,60365195,60524657,4
3:60786345-60883493,3,60786345,60883493,3
3:61224571-61303530,3,61224571,61303530,3
3:63501154-63501154,3,63501154,63501154,1
3:64185955-64267169,3,64185955,64267169,5
3:65154627-65154627,3,65154627,65154627,1
3:65689569-65844319,3,65689569,65844319,4
3:66446083-66848257,3,66446083,66848257,5
3:68986686-69061733,3,68986686,69061733,4
3:69383820-69505132,3,69383820,69505132,3
3:73858919-73858919,3,73858919,73858919,1
3:76282336-76285032,3,76282336,76285032,12
3:79132661-79132786,3,79132661,79132786,4
3:79695901-79830390,3,79695901,79830390,2
3:80073263-80073263,3,80073263,80073263,1
3:80316404-80316404,3,80316404,80316404,1
4:2399084-2399084,4,2399084,2399084,2
4:2749159-2803702,4,2749159,2803702,2
4:3791570-3796270,4,3791570,3796270,6
4:4223438-4371839,4,4223438,4371839,5
4:4625898-4724594,4,4625898,4724594,19
4:5551725-5551726,4,5551725,5551726,2
4:6144236-6144281,4,6144236,6144281,2
4:6478665-6478665,4,6478665,6478665,1
4:7534143-7548205,4,7534143,7548205,35
4:8685597-8884311,4,8685597,8884311,5
4:10433247-10434783,4,10433247,10434783,2
4:10674193-10721737,4,10674193,10721737,2
4:12508103-12527917,4,12508103,12527917,9
4:12939475-12939475,4,12939475,12939475,1
4:16842234-20745353,4,16842234,20745353,1167
4:20981089-21349091,4,20981089,21349091,27
4:21598020-21986255,4,21598020,21986255,18
4:22304896-22767044,4,22304896,22767044,10
4:23124066-23124066,4,23124066,23124066,1
4:23733502-23892771,4,23733502,23892771,5
4:24367113-24474322,4,24367113,24474322,4
4:24818595-24895720,4,24818595,24895720,2
4:25393597-25393597,4,25393597,25393597,1
4:25773688-26708687,4,25773688,26708687,35
4:26915110-28559506,4,26915110,28559506,82
4:28956550-28956550,4,28956550,28956550,1
4:35047157-36569798,4,35047157,36569798,78
4:37381806-37802564,4,37381806,37802564,14
4:38208724-38858192,4,38208724,38858192,16
4:39427905-40735252,4,39427905,40735252,120
4:41660724-42295420,4,41660724,42295420,10
4:42566071-42566071,4,42566071,42566071,1
4:43533347-43533347,4,43533347,43533347,1
4:43861507-43902342,4,43861507,43902342,35
4:44115277-44115277,4,44115277,44115277,1
4:44317885-44561320,4,44317885,44561320,13
4:45208964-45208964,4,45208964,45208964,2
4:45704907-45993941,4,45704907,45993941,27
4:50898627-50898638,4,50898627,50898638,2
4:51314275-51314275,4,51314275,51314275,1
4:51708912-51708912,4,51708912,51708912,1
4:51936919-51937475,4,51936919,51937475,3
4:52181572-52181984,4,52181572,52181984,2
4:53606456-53606456,4,53606456,53606456,1
4:56361306-56361306,4,56361306,56361306,1
4:57364240-57366320,4,57364240,57366320,2
4:57612957-57612957,4,57612957,57612957,1
4:58055353-58055817,4,58055353,58055817,3
4:58952029-59265704,4,58952029,59265704,13
4:59819846-59985751,4,59819846,59985751,74
4:60556616-60799936,4,60556616,60799936,32
4:62394873-62394873,4,62394873,62394873,1
4:62625776-62743420,4,62625776,62743420,2
4:63589262-63589262,4,63589262,63589262,1
4:64445411-65094100,4,64445411,65094100,144
4:65405896-65526687,4,65405896,65526687,588
4:65993335-66055465,4,65993335,66055465,2
4:67122929-67122929,4,67122929,67122929,1
4:68547834-68802030,4,68547834,68802030,7
4:69100351-69177741,4,69100351,69177741,2
4:69552938-69552938,4,69552938,69552938,1
4:70018911-70023585,4,70018911,70023585,61
5:940443-940443,5,940443,940443,1
5:4904703-4904703,5,4904703,4904703,1
5:6367080-6367080,5,6367080,6367080,1
5:6917086-6917086,5,6917086,6917086,1
5:9659089-9659089,5,9659089,9659089,2
5:11157872-11169959,5,11157872,11169959,15
5:13649360-13672234,5,13649360,13672234,3
5:17689866-17689866,5,17689866,17689866,1
5:18116914-18116914,5,18116914,18116914,1
5:18509856-18799569,5,18509856,18799569,6
5:19563945-19563945,5,19563945,19563945,1
5:28560902-28560902,5,28560902,28560902,1
5:32019245-32019245,5,32019245,32019245,1
5:34619724-34619724,5,34619724,34619724,1
5:38653702-38653702,5,38653702,38653702,1
5:46404276-46404276,5,46404276,46404276,1
5:50476660-50545548,5,50476660,50545548,2
5:51283793-51283793,5,51283793,51283793,1
5:54194141-54194141,5,54194141,54194141,1
5:55099872-55099872,5,55099872,55099872,2
5:56620715-56620715,5,56620715,56620715,1
5:57249776-57249776,5,57249776,57249776,2
5:58722953-58722953,5,58722953,58722953,1
5:60007887-60022551,5,60007887,60022551,13
5:60592109-60696436,5,60592109,60696436,3
5:61159190-61159190,5,61159190,61159190,1
5:61752084-61752084,5,61752084,61752084,1
5:62210027-62210027,5,62210027,62210027,1
5:62679628-62748988,5,62679628,62748988,3
5:64014880-64046445,5,64014880,64046445,37
5:64630673-64630673,5,64630673,64630673,1
5:65850773-65850773,5,65850773,65850773,1
5:66801655-66801676,5,66801655,66801676,3
5:67228416-67228416,5,67228416,67228416,1
5:67522914-67522914,5,67522914,67522914,1
5:68389789-68456427,5,68389789,68456427,7
5:70684350-70684350,5,70684350,70684350,1
5:70994272-71005263,5,70994272,71005263,4
5:72869134-72886963,5,72869134,72886963,3
5:73964793-74157019,5,73964793,74157019,3
5:74605627-74605627,5,74605627,74605627,1
5:75480893-75482045,5,75480893,75482045,13
6:2377433-2377433,6,2377433,2377433,1
6:5591564-5591564,6,5591564,5591564,1
6:6245144-6245144,6,6245144,6245144,1
6:6480952-6480952,6,6480952,6480952,1
6:7007340-7007340,6,7007340,7007340,1
6:14278924-14278924,6,14278924,14278924,1
6:40480094-40480094,6,40480094,40480094,1
6:43021412-43021412,6,43021412,43021412,1
6:43533465-44716389,6,43533465,44716389,1539
6:44962538-45450658,6,44962538,45450658,8
6:47250057-47250057,6,47250057,47250057,1
6:49519543-49519543,6,49519543,49519543,1
6:50027105-50468236,6,50027105,50468236,36
6:50673400-50815855,6,50673400,50815855,2
6:51104673-51374641,6,51104673,51374641,47
6:51617098-52404519,6,51617098,52404519,133
6:54277607-54277607,6,54277607,54277607,1
6:55121607-55132253,6,55121607,55132253,2
6:55609030-55744826,6,55609030,55744826,4
6:56219322-56493085,6,56219322,56493085,8
6:57033584-57315023,6,57033584,57315023,6
6:57600057-57603756,6,57600057,57603756,8
6:57881583-58658248,6,57881583,58658248,305
6:59642140-59642140,6,59642140,59642140,1
6:60405709-60405709,6,60405709,60405709,1
6:62260356-62260363,6,62260356,62260363,2
7:1092260-1218148,7,1092260,1218148,3
7:2311726-2311726,7,2311726,2311726,1
7:4080413-4096272,7,4080413,4096272,3
7:4972230-4972230,7,4972230,4972230,1
7:5771482-5771482,7,5771482,5771482,1
7:6254946-6264107,7,6254946,6264107,3
7:6845950-6847720,7,6845950,6847720,2
7:9288844-9364663,7,9288844,9364663,2
7:13900378-14121287,7,13900378,14121287,3
7:14470357-14545299,7,14470357,14545299,6
7:14785049-14975447,7,14785049,14975447,2
7:15530179-15530179,7,15530179,15530179,1
7:17746357-17746357,7,17746357,17746357,1
7:22562865-22562865,7,22562865,22562865,1
7:25816875-25816875,7,25816875,25816875,1
7:42769174-42769174,7,42769174,42769174,1
7:60910335-60913969,7,60910335,60913969,6
7:62853152-63323476,7,62853152,63323476,114
7:65419286-65574115,7,65419286,65574115,3
7:66827163-66827179,7,66827163,66827179,2
7:67838810-67838810,7,67838810,67838810,1
8:1468914-1600622,8,1468914,1600622,4
8:2614854-2614869,8,2614854,2614869,2
8:3020930-3095863,8,3020930,3095863,17
8:5596639-5596642,8,5596639,5596642,2
8:12848341-12901525,8,12848341,12901525,18
8:48818619-48818619,8,48818619,48818619,1
8:50398233-50398289,8,50398233,50398289,3
8:52187019-52322903,8,52187019,52322903,9
8:52732042-52858077,8,52732042,52858077,8
8:60743526-60754162,8,60743526,60754162,16
8:61149182-61508991,8,61149182,61508991,32
8:64278022-64278022,8,64278022,64278022,1
9:811491-811491,9,811491,811491,1
9:1769324-1769324,9,1769324,1769324,1
9:2677845-2684064,9,2677845,2684064,26
9:2965859-2965859,9,2965859,2965859,1
9:5374975-5485557,9,5374975,5485557,18
9:6400208-6419583,9,6400208,6419583,11
9:6658344-6882765,9,6658344,6882765,4
9:18892422-18892422,9,18892422,18892422,1
9:20671319-20671319,9,20671319,20671319,1
9:22782176-22782176,9,22782176,22782176,1
9:24395908-24395908,9,24395908,24395908,1
9:26710817-26710817,9,26710817,26710817,1
9:33957165-33957165,9,33957165,33957165,1
9:37528748-37528748,9,37528748,37528748,1
9:53042648-53042648,9,53042648,53042648,1
9:54064520-54064520,9,54064520,54064520,1
9:54489925-54489925,9,54489925,54489925,3
9:56304397-56327209,9,56304397,56327209,5
9:58400167-58549438,9,58400167,58549438,2
9:59312854-62791172,9,59312854,62791172,7995
9:63006136-63030312,9,63006136,63030312,3
