trait,spearman,set,severity,abs_spearman,spearman_r2,stat,embedding_num
embedding_mean_561,-0.5917729382193277,all_sam3,human_score,0.5917729382193277,0.3501952104087363,mean,561
embedding_std_821,0.5916163663032362,all_sam3,human_score,0.5916163663032362,0.350009924877845,std,821
embedding_mean_159,-0.5904647785515452,all_sam3,human_score,0.5904647785515452,0.34864865470992534,mean,159
embedding_mean_109,-0.5893571913713616,all_sam3,human_score,0.5893571913713616,0.3473418990211397,mean,109
embedding_std_963,-0.5845946108155065,all_sam3,human_score,0.5845946108155065,0.34175085899453345,std,963
embedding_std_376,-0.5807719543517861,all_sam3,human_score,0.5807719543517861,0.3372960629615931,std,376
embedding_std_24,0.5787253359267761,all_sam3,human_score,0.5787253359267761,0.3349230144435599,std,24
embedding_mean_968,0.5787173986324887,all_sam3,human_score,0.5787173986324887,0.33491382747995485,mean,968
embedding_mean_950,-0.5784881491831046,all_sam3,human_score,0.5784881491831046,0.33464853874529393,mean,950
embedding_std_82,0.5771524946620537,all_sam3,human_score,0.5771524946620537,0.33310500209463184,std,82
embedding_mean_210,0.6650398477414227,all_sam3,percentUnhealthy,0.6650398477414227,0.4422779990839346,mean,210
embedding_mean_989,0.6617389378176743,all_sam3,percentUnhealthy,0.6617389378176743,0.43789842182406385,mean,989
embedding_std_821,0.6555893959029262,all_sam3,percentUnhealthy,0.6555893959029262,0.4297974560203637,std,821
embedding_mean_586,-0.6521161390806277,all_sam3,percentUnhealthy,0.6521161390806277,0.42525545884942456,mean,586
embedding_mean_619,-0.6468531834688949,all_sam3,percentUnhealthy,0.6468531834688949,0.41841904096384375,mean,619
embedding_std_687,0.6435923873145164,all_sam3,percentUnhealthy,0.6435923873145164,0.41421116100919847,std,687
embedding_mean_546,0.6434157407012415,all_sam3,percentUnhealthy,0.6434157407012415,0.41398381538212725,mean,546
embedding_std_270,0.6433675142625795,all_sam3,percentUnhealthy,0.6433675142625795,0.4139217584084105,std,270
embedding_std_930,0.6415147225680059,all_sam3,percentUnhealthy,0.6415147225680059,0.4115411392715056,std,930
embedding_std_976,0.6409356976986859,all_sam3,percentUnhealthy,0.6409356976986859,0.4107985685845012,std,976
embedding_std_376,-0.6394301316300873,all_sam3,percentUnhealthy,0.6394301316300873,0.4088708932364708,std,376
embedding_std_82,0.636496025907539,all_sam3,percentUnhealthy,0.636496025907539,0.4051271909960905,std,82
embedding_mean_582,-0.636419831041493,all_sam3,percentUnhealthy,0.636419831041493,0.40503020134288253,mean,582
embedding_std_24,0.634504652920064,all_sam3,percentUnhealthy,0.634504652920064,0.4025961545772108,std,24
embedding_mean_792,-0.6325992809876417,all_sam3,percentUnhealthy,0.6325992809876417,0.4001818503060813,mean,792
embedding_mean_657,-0.6309847212071056,all_sam3,percentUnhealthy,0.6309847212071056,0.39814171839680873,mean,657
embedding_mean_637,-0.630011809342266,all_sam3,percentUnhealthy,0.630011809342266,0.39691487991071567,mean,637
embedding_std_552,0.628208329155872,all_sam3,percentUnhealthy,0.628208329155872,0.3946457048208124,std,552
embedding_std_793,0.6276643104545468,all_sam3,percentUnhealthy,0.6276643104545468,0.3939624866183818,std,793
embedding_mean_984,-0.626082397407353,all_sam3,percentUnhealthy,0.626082397407353,0.39197916834333874,mean,984
embedding_mean_698,-0.6257931503245845,all_sam3,percentUnhealthy,0.6257931503245845,0.391617066993168,mean,698
embedding_std_983,0.6203982691890487,all_sam3,percentUnhealthy,0.6203982691890487,0.3848940124127674,std,983
embedding_mean_68,-0.6199060465008739,all_sam3,percentUnhealthy,0.6199060465008739,0.38428350648834364,mean,68
embedding_std_1017,0.6126667060581831,all_sam3,percentUnhealthy,0.6126667060581831,0.3753604927121841,std,1017
embedding_mean_433,0.6121886163159705,all_sam3,percentUnhealthy,0.6121886163159705,0.3747749019468626,mean,433
embedding_std_808,0.6118410763240603,all_sam3,percentUnhealthy,0.6118410763240603,0.37434950267738454,std,808
embedding_mean_214,0.609783686490222,all_sam3,percentUnhealthy,0.609783686490222,0.3718361443096053,mean,214
embedding_mean_108,-0.6087249087814846,all_sam3,percentUnhealthy,0.6087249087814846,0.3705460145710267,mean,108
embedding_mean_237,0.608612724086292,all_sam3,percentUnhealthy,0.608612724086292,0.37040944791973696,mean,237
embedding_std_128,0.608519489234454,all_sam3,percentUnhealthy,0.608519489234454,0.37029596877816073,std,128
