project,image,username,score,timestamp,comment
images_to_score_20260516 2,250496_LeafPhotoA_2025-10-03 08_39_59.262-05_00.jpg,Libia,4.0,2026-05-18T09:15:48,
images_to_score_20260516 2,250554_LeafPhotoA_2025-10-03 09_32_26.837-05_00.jpg,Libia,4.0,2026-05-18T09:15:49,
images_to_score_20260516 2,250494_LeafPhotoA_2025-10-03 08_38_31.734-05_00.jpg,Libia,3.0,2026-05-18T09:15:54,
images_to_score_20260516 2,250599_LeafPhotoA_2025-10-03 08_55_58.845-05_00.jpg,Libia,3.0,2026-05-18T09:15:56,
images_to_score_20260516 2,251383_LeafPhotoA_2025-10-10 14_21_59.457-05_00.jpg,Libia,2.0,2026-05-18T09:15:58,
images_to_score_20260516 2,250159_LeafPhotoA_2025-10-01 13_51_39.061-05_00.jpg,Libia,3.0,2026-05-18T09:16:02,
images_to_score_20260516 2,250625_LeafPhotoA_2025-10-03 09_27_16.066-05_00.jpg,Libia,3.5,2026-05-18T09:16:05,
images_to_score_20260516 2,250186_LeafPhotoA_2025-10-01 10_00_55.735-05_00.jpg,Libia,3.5,2026-05-18T09:16:08,
images_to_score_20260516 2,250499_LeafPhotoA_2025-10-03 08_43_47.089-05_00.jpg,Libia,1.5,2026-05-18T09:16:13,
images_to_score_20260516 2,250680_LeafPhotoA_2025-10-03 10_32_58.401-05_00.jpg,Libia,2.0,2026-05-18T09:16:17,
images_to_score_20260516 2,250581_LeafPhotoA_2025-10-03 10_30_17.258-05_00.jpg,Libia,1.5,2026-05-18T09:16:19,
images_to_score_20260516 2,250249_LeafPhotoA_2025-10-01 10_39_34.990-05_00.jpg,Libia,3.5,2026-05-18T09:16:24,
images_to_score_20260516 2,250687_LeafPhotoA_2025-10-03 10_50_39.696-05_00.jpg,Libia,3.0,2026-05-18T09:16:26,
images_to_score_20260516 2,250077_LeafPhotoA_2025-10-01 08_58_19.998-05_00.jpg,Libia,2.5,2026-05-18T09:16:28,
images_to_score_20260516 2,250304_LeafPhotoA_2025-10-01 14_15_07.510-05_00.jpg,Libia,3.0,2026-05-18T09:16:30,
images_to_score_20260516 2,250656_LeafPhotoA_2025-10-03 10_18_34.862-05_00.jpg,Libia,2.5,2026-05-18T09:16:33,
images_to_score_20260516 2,250974_LeafPhotoA_2025-10-08 09_35_30.826-05_00.jpg,Libia,1.5,2026-05-18T09:16:37,
images_to_score_20260516 2,250512_LeafPhotoA_2025-10-03 09_05_21.846-05_00.jpg,Libia,1.5,2026-05-18T09:16:39,
images_to_score_20260516 2,250218_LeafPhotoA_2025-10-01 13_28_39.331-05_00.jpg,Libia,2.0,2026-05-18T09:16:43,
images_to_score_20260516 2,250050_LeafPhotoA_2025-10-01 09_16_36.691-05_00.jpg,Libia,2.0,2026-05-18T09:16:44,
images_to_score_20260516 2,250506_LeafPhotoA_2025-10-03 08_49_53.823-05_00.jpg,Libia,2.0,2026-05-18T09:16:47,
images_to_score_20260516 2,250618_LeafPhotoA_2025-10-03 09_02_36.050-05_00.jpg,Libia,2.0,2026-05-18T09:16:49,
images_to_score_20260516 2,250511_LeafPhotoA_2025-10-03 09_07_01.218-05_00.jpg,Libia,2.0,2026-05-18T09:16:51,
images_to_score_20260516 2,250575_LeafPhotoA_2025-10-03 10_37_59.105-05_00.jpg,Libia,3.0,2026-05-18T09:16:54,
images_to_score_20260516 2,250368_LeafPhotoA_2025-10-01 14_37_50.275-05_00.jpg,Libia,2.0,2026-05-18T09:16:57,
images_to_score_20260516 2,250596_LeafPhotoA_2025-10-03 08_53_16.452-05_00.jpg,Libia,2.0,2026-05-18T09:18:04,
images_to_score_20260516 2,250497_LeafPhotoA_2025-10-03 08_41_21.736-05_00.jpg,Libia,4.5,2026-05-18T09:18:09,
images_to_score_20260516 2,250255_LeafPhotoA_2025-10-01 10_45_56.395-05_00.jpg,Libia,4.5,2026-05-18T09:18:11,
images_to_score_20260516 2,250031_LeafPhotoA_2025-10-01 08_45_22.228-05_00.jpg,Libia,3.0,2026-05-18T09:18:13,
images_to_score_20260516 2,250401_LeafPhotoA_2025-10-02 10_19_17.551-05_00.jpg,Libia,2.0,2026-05-18T09:18:15,
images_to_score_20260516 2,250324_LeafPhotoA_2025-10-01 13_56_23.192-05_00.jpg,Libia,2.0,2026-05-18T09:18:18,
images_to_score_20260516 2,250304_LeafPhotoA_2025-10-01 14_15_17.950-05_00.jpg,Libia,3.0,2026-05-18T09:18:20,
images_to_score_20260516 2,250403_LeafPhotoA_2025-10-02 10_23_51.512-05_00.jpg,Libia,4.0,2026-05-18T09:18:24,
images_to_score_20260516 2,250375_LeafPhotoA_2025-10-01 14_29_47.411-05_00.jpg,Libia,1.5,2026-05-18T09:18:29,
images_to_score_20260516 2,250678_LeafPhotoA_2025-10-03 10_34_54.824-05_00.jpg,Libia,3.0,2026-05-18T09:18:31,
images_to_score_20260516 2,250149_LeafPhotoA_2025-10-01 13_36_33.698-05_00.jpg,Libia,3.0,2026-05-18T09:18:33,
images_to_score_20260516 2,250404_LeafPhotoA_2025-10-02 10_24_13.283-05_00.jpg,Libia,3.0,2026-05-18T09:18:34,
images_to_score_20260516 2,250017_LeafPhotoA_2025-10-01 08_09_22.902-05_00.jpg,Libia,4.5,2026-05-18T09:18:38,
images_to_score_20260516 2,250413_LeafPhotoA_2025-10-02 13_31_09.405-05_00.jpg,Libia,4.0,2026-05-18T09:18:40,
images_to_score_20260516 2,250079_LeafPhotoA_2025-10-01 08_55_09.260-05_00.jpg,Libia,2.0,2026-05-18T09:18:51,
images_to_score_20260516 2,250631_LeafPhotoA_2025-10-03 09_32_48.855-05_00.jpg,Libia,2.0,2026-05-18T09:18:52,
images_to_score_20260516 2,250030_LeafPhotoA_2025-10-01 08_43_31.100-05_00.jpg,Libia,4.0,2026-05-18T09:18:56,
images_to_score_20260516 2,250571_LeafPhotoA_2025-10-03 10_23_42.750-05_00.jpg,Libia,2.0,2026-05-18T09:19:03,
images_to_score_20260516 2,250658_LeafPhotoA_2025-10-03 10_20_53.875-05_00.jpg,Libia,2.0,2026-05-18T09:19:06,
images_to_score_20260516 2,250692_LeafPhotoA_2025-10-03 10_54_55.931-05_00.jpg,Libia,3.0,2026-05-18T09:19:08,
images_to_score_20260516 2,250546_LeafPhotoA_2025-10-03 09_40_00.991-05_00.jpg,Libia,2.0,2026-05-18T09:19:09,
images_to_score_20260516 2,250246_LeafPhotoA_2025-10-01 10_34_28.443-05_00.jpg,Libia,2.5,2026-05-18T09:19:11,
images_to_score_20260516 2,250016_LeafPhotoA_2025-10-01 08_49_47.388-05_00.jpg,Libia,3.0,2026-05-18T09:19:14,
images_to_score_20260516 2,250341_LeafPhotoA_2025-10-01 14_21_00.570-05_00.jpg,Libia,3.0,2026-05-18T09:19:15,
images_to_score_20260516 2,250287_LeafPhotoA_2025-10-01 13_47_30.509-05_00.jpg,Libia,2.0,2026-05-18T09:19:17,
images_to_score_20260516 2,250655_LeafPhotoA_2025-10-03 10_17_50.779-05_00.jpg,Libia,2.0,2026-05-18T09:19:20,
images_to_score_20260516 2,250609_LeafPhotoA_2025-10-03 09_10_44.018-05_00.jpg,Libia,2.0,2026-05-18T09:19:23,
images_to_score_20260516 2,250529_LeafPhotoA_2025-10-03 09_17_32.700-05_00.jpg,Libia,1.5,2026-05-18T09:19:27,
images_to_score_20260516 2,250568_LeafPhotoA_2025-10-03 10_20_00.530-05_00.jpg,Libia,1.5,2026-05-18T09:19:29,
images_to_score_20260516 2,250670_LeafPhotoA_2025-10-03 10_42_44.170-05_00.jpg,Libia,2.5,2026-05-18T09:19:35,
images_to_score_20260516 2,250611_LeafPhotoA_2025-10-03 09_09_20.929-05_00.jpg,Libia,2.0,2026-05-18T09:19:37,
images_to_score_20260516 2,250398_LeafPhotoA_2025-10-02 10_14_31.073-05_00.jpg,Libia,3.0,2026-05-18T09:19:40,
images_to_score_20260516 2,250413_LeafPhotoA_2025-10-02 13_30_49.340-05_00.jpg,Libia,4.0,2026-05-18T09:19:42,
images_to_score_20260516 2,250038_LeafPhotoA_2025-10-01 08_44_04.345-05_00.jpg,Libia,2.0,2026-05-18T09:19:46,
images_to_score_20260516 2,250304_LeafPhotoA_2025-10-01 14_14_49.999-05_00.jpg,Libia,3.5,2026-05-18T09:19:49,
images_to_score_20260516 2,250481_LeafPhotoA_2025-10-02 14_24_54.746-05_00.jpg,Libia,2.5,2026-05-18T09:19:53,
images_to_score_20260516 2,251333_LeafPhotoA_2025-10-10 10_34_27.647-05_00.jpg,Libia,2.0,2026-05-18T09:19:57,
images_to_score_20260516 2,250122_LeafPhotoA_2025-10-01 10_14_08.402-05_00.jpg,Libia,2.0,2026-05-18T09:19:59,
images_to_score_20260516 2,250280_LeafPhotoA_2025-10-01 13_34_06.719-05_00.jpg,Libia,2.0,2026-05-18T09:20:01,
images_to_score_20260516 2,250288_LeafPhotoA_2025-10-01 13_49_19.833-05_00.jpg,Libia,4.5,2026-05-18T09:20:07,
images_to_score_20260516 2,250628_LeafPhotoA_2025-10-03 09_29_46.223-05_00.jpg,Libia,2.0,2026-05-18T09:20:09,
images_to_score_20260516 2,250046_LeafPhotoA_2025-10-01 09_04_29.157-05_00.jpg,Libia,3.0,2026-05-18T09:20:12,
images_to_score_20260516 2,250177_LeafPhotoA_2025-10-01 10_11_21.258-05_00.jpg,Libia,2.5,2026-05-18T09:20:14,
images_to_score_20260516 2,250627_LeafPhotoA_2025-10-03 09_28_50.637-05_00.jpg,Libia,2.5,2026-05-18T09:20:16,
images_to_score_20260516 2,250313_LeafPhotoA_2025-10-01 14_24_54.979-05_00.jpg,Libia,2.5,2026-05-18T09:20:21,
images_to_score_20260516 2,250454_LeafPhotoA_2025-10-02 14_22_08.045-05_00.jpg,Libia,2.5,2026-05-18T09:20:23,
images_to_score_20260516 2,250309_LeafPhotoA_2025-10-01 14_28_33.704-05_00.jpg,Libia,2.5,2026-05-18T09:20:27,
images_to_score_20260516 2,250690_LeafPhotoA_2025-10-03 10_52_51.856-05_00.jpg,Libia,2.0,2026-05-18T09:20:30,
images_to_score_20260516 2,250070_LeafPhotoA_2025-10-01 09_13_17.053-05_00.jpg,Libia,2.0,2026-05-18T09:20:34,
images_to_score_20260516 2,250049_LeafPhotoA_2025-10-01 09_18_57.839-05_00.jpg,Libia,1.5,2026-05-18T09:20:36,
images_to_score_20260516 2,250285_LeafPhotoA_2025-10-01 13_41_53.422-05_00.jpg,Libia,1.5,2026-05-18T09:20:39,
images_to_score_20260516 2,250009_LeafPhotoA_2025-10-01 08_40_02.953-05_00.jpg,Libia,3.0,2026-05-18T09:20:45,
images_to_score_20260516 2,250015_LeafPhotoA_2025-10-01 08_48_48.257-05_00.jpg,Libia,3.0,2026-05-18T09:20:48,
images_to_score_20260516 2,250450_LeafPhotoA_2025-10-02 13_42_54.864-05_00.jpg,Libia,3.0,2026-05-18T09:20:51,
images_to_score_20260516 2,250523_LeafPhotoA_2025-10-03 08_53_32.156-05_00.jpg,Libia,2.0,2026-05-18T09:20:53,
images_to_score_20260516 2,250649_LeafPhotoA_2025-10-03 09_40_48.759-05_00.jpg,Libia,3.0,2026-05-18T09:20:55,
images_to_score_20260516 2,250492_LeafPhotoA_2025-10-03 08_21_57.361-05_00.jpg,Libia,2.0,2026-05-18T09:21:03,
images_to_score_20260516 2,250658_LeafPhotoA_2025-10-03 10_20_39.242-05_00.jpg,Libia,3.0,2026-05-18T09:21:05,
images_to_score_20260516 2,250237_LeafPhotoA_2025-10-01 09_52_46.510-05_00.jpg,Libia,3.0,2026-05-18T09:21:07,
images_to_score_20260516 2,250419_LeafPhotoA_2025-10-02 13_37_28.829-05_00.jpg,Libia,2.5,2026-05-18T09:21:09,
images_to_score_20260516 2,250522_LeafPhotoA_2025-10-03 08_54_36.256-05_00.jpg,Libia,2.0,2026-05-18T09:21:11,
images_to_score_20260516 2,250377_LeafPhotoA_2025-10-01 14_27_36.641-05_00.jpg,Libia,3.0,2026-05-18T09:21:14,
images_to_score_20260516 2,250806_LeafPhotoA_2025-10-07 14_30_53.222-05_00.jpg,Libia,2.0,2026-05-18T09:21:17,
images_to_score_20260516 2,250616_LeafPhotoA_2025-10-03 09_04_05.213-05_00.jpg,Libia,2.5,2026-05-18T09:21:21,
images_to_score_20260516 2,250347_LeafPhotoA_2025-10-01 14_13_51.238-05_00.jpg,Libia,2.0,2026-05-18T09:21:23,
images_to_score_20260516 2,250691_LeafPhotoA_2025-10-03 10_53_45.621-05_00.jpg,Libia,2.0,2026-05-18T09:21:25,
images_to_score_20260516 2,250629_LeafPhotoA_2025-10-03 09_30_42.544-05_00.jpg,Libia,2.0,2026-05-18T09:21:27,
images_to_score_20260516 2,250113_LeafPhotoA_2025-10-01 10_32_38.305-05_00.jpg,Libia,3.0,2026-05-18T09:21:30,
images_to_score_20260516 2,250670_LeafPhotoA_2025-10-03 10_42_04.310-05_00.jpg,Libia,3.0,2026-05-18T09:21:33,
images_to_score_20260516 2,250381_LeafPhotoA_2025-10-02 10_20_19.386-05_00.jpg,Libia,3.0,2026-05-18T09:21:34,
images_to_score_20260516 2,250436_LeafPhotoA_2025-10-02 13_59_46.894-05_00.jpg,Libia,3.0,2026-05-18T09:21:36,
images_to_score_20260516 2,250290_LeafPhotoA_2025-10-01 13_57_48.006-05_00.jpg,Libia,3.0,2026-05-18T09:21:37,
images_to_score_20260516 2,250693_LeafPhotoA_2025-10-03 10_55_36.484-05_00.jpg,Libia,2.5,2026-05-18T09:21:39,
images_to_score_20260516 2,250443_LeafPhotoA_2025-10-02 13_49_17.144-05_00.jpg,Libia,2.0,2026-05-18T09:21:40,
images_to_score_20260516 2,250033_LeafPhotoA_2025-10-01 08_17_22.671-05_00.jpg,Libia,3.0,2026-05-18T09:21:42,
images_to_score_20260516 2,250350_LeafPhotoA_2025-10-01 14_09_19.865-05_00.jpg,Libia,2.0,2026-05-18T09:21:44,
images_to_score_20260516 2,250426_LeafPhotoA_2025-10-02 13_45_53.220-05_00.jpg,Libia,3.0,2026-05-18T09:21:47,
images_to_score_20260516 2,250140_LeafPhotoA_2025-10-01 10_48_21.543-05_00.jpg,Libia,3.0,2026-05-18T09:21:48,
images_to_score_20260516 2,250184_LeafPhotoA_2025-10-01 10_02_33.400-05_00.jpg,Libia,2.5,2026-05-18T09:21:50,
images_to_score_20260516 2,250685_LeafPhotoA_2025-10-03 10_47_43.531-05_00.jpg,Libia,2.5,2026-05-18T09:21:52,
images_to_score_20260516 2,250113_LeafPhotoA_2025-10-01 10_33_00.453-05_00.jpg,Libia,2.0,2026-05-18T09:21:54,
images_to_score_20260516 2,250565_LeafPhotoA_2025-10-03 10_16_33.817-05_00.jpg,Libia,1.5,2026-05-18T09:21:57,
images_to_score_20260516 2,250349_LeafPhotoA_2025-10-01 14_07_51.518-05_00.jpg,Libia,1.5,2026-05-18T09:21:59,
images_to_score_20260516 2,250516_LeafPhotoA_2025-10-03 09_00_55.474-05_00.jpg,Libia,1.0,2026-05-18T09:22:00,
images_to_score_20260516 2,250314_LeafPhotoA_2025-10-01 14_23_33.620-05_00.jpg,Libia,2.0,2026-05-18T09:22:02,
images_to_score_20260516 2,250462_LeafPhotoA_2025-10-02 14_44_13.434-05_00.jpg,Libia,2.0,2026-05-18T09:22:04,
images_to_score_20260516 2,250541_LeafPhotoA_2025-10-03 09_47_09.488-05_00.jpg,Libia,1.5,2026-05-18T09:22:06,
images_to_score_20260516 2,250373_LeafPhotoA_2025-10-01 14_32_22.273-05_00.jpg,Libia,3.0,2026-05-18T09:22:08,
images_to_score_20260516 2,250581_LeafPhotoA_2025-10-03 10_30_41.989-05_00.jpg,Libia,2.5,2026-05-18T09:22:11,
images_to_score_20260516 2,250191_LeafPhotoA_2025-10-01 09_55_04.298-05_00.jpg,Libia,4.0,2026-05-18T09:22:14,
images_to_score_20260516 2,250440_LeafPhotoA_2025-10-02 13_53_01.555-05_00.jpg,Libia,1.5,2026-05-18T09:22:20,
images_to_score_20260516 2,250506_LeafPhotoA_2025-10-03 08_50_13.086-05_00.jpg,Libia,3.0,2026-05-18T09:22:25,
images_to_score_20260516 2,250497_LeafPhotoA_2025-10-03 08_42_01.822-05_00.jpg,Libia,3.5,2026-05-18T09:22:27,
images_to_score_20260516 2,250391_LeafPhotoA_2025-10-02 10_40_18.456-05_00.jpg,Libia,2.0,2026-05-18T09:22:29,
images_to_score_20260516 2,250545_LeafPhotoA_2025-10-03 09_42_15.947-05_00.jpg,Libia,2.0,2026-05-18T09:22:33,
images_to_score_20260516 2,250344_LeafPhotoA_2025-10-01 14_17_27.498-05_00.jpg,Libia,3.5,2026-05-18T09:22:43,
images_to_score_20260516 2,250684_LeafPhotoA_2025-10-03 10_45_37.425-05_00.jpg,Libia,2.0,2026-05-18T09:22:46,
images_to_score_20260516 2,250625_LeafPhotoA_2025-10-03 09_27_42.296-05_00.jpg,Libia,3.0,2026-05-18T09:22:48,
images_to_score_20260516 2,250504_LeafPhotoA_2025-10-03 08_48_09.426-05_00.jpg,Libia,2.0,2026-05-18T09:22:50,
images_to_score_20260516 2,250227_LeafPhotoA_2025-10-01 09_37_33.409-05_00.jpg,Libia,2.0,2026-05-18T09:22:52,
images_to_score_20260516 2,250399_LeafPhotoA_2025-10-02 10_16_08.578-05_00.jpg,Libia,3.0,2026-05-18T09:22:54,
images_to_score_20260516 2,250337_LeafPhotoA_2025-10-01 14_26_19.209-05_00.jpg,Libia,5.0,2026-05-18T09:22:58,
images_to_score_20260516 2,250335_LeafPhotoA_2025-10-01 14_08_25.536-05_00.jpg,Libia,2.5,2026-05-18T09:23:02,
images_to_score_20260516 2,250513_LeafPhotoA_2025-10-03 09_04_31.804-05_00.jpg,Libia,3.0,2026-05-18T09:23:04,
images_to_score_20260516 2,250154_LeafPhotoA_2025-10-01 13_45_20.123-05_00.jpg,Libia,3.0,2026-05-18T09:23:05,
images_to_score_20260516 2,250175_LeafPhotoA_2025-10-01 09_49_29.305-05_00.jpg,Libia,3.0,2026-05-18T09:23:08,
images_to_score_20260516 2,250200_LeafPhotoA_2025-10-01 10_29_51.727-05_00.jpg,Libia,3.0,2026-05-18T09:23:10,
images_to_score_20260516 2,250543_LeafPhotoA_2025-10-03 09_45_04.472-05_00.jpg,Libia,2.5,2026-05-18T09:23:12,
images_to_score_20260516 2,250864_LeafPhotoA_2025-10-08 10_00_08.359-05_00.jpg,Libia,5.0,2026-05-18T09:23:14,
images_to_score_20260516 2,250039_LeafPhotoA_2025-10-01 08_46_28.099-05_00.jpg,Libia,1.5,2026-05-18T09:23:21,
images_to_score_20260516 2,250599_LeafPhotoA_2025-10-03 08_55_33.250-05_00.jpg,Libia,1.5,2026-05-18T09:23:23,
images_to_score_20260516 2,250330_LeafPhotoA_2025-10-01 14_02_18.097-05_00.jpg,Libia,3.0,2026-05-18T09:23:25,
images_to_score_20260516 2,250401_LeafPhotoA_2025-10-02 10_20_11.400-05_00.jpg,Libia,2.5,2026-05-18T09:23:27,
images_to_score_20260516 2,250378_LeafPhotoA_2025-10-01 14_26_25.879-05_00.jpg,Libia,3.0,2026-05-18T09:23:31,
images_to_score_20260516 2,250506_LeafPhotoA_2025-10-03 08_49_40.902-05_00.jpg,Libia,2.5,2026-05-18T09:23:34,
images_to_score_20260516 2,250285_LeafPhotoA_2025-10-01 13_41_09.552-05_00.jpg,Libia,3.0,2026-05-18T09:23:36,
images_to_score_20260516 2,250348_LeafPhotoA_2025-10-01 14_06_48.409-05_00.jpg,Libia,3.0,2026-05-18T09:23:39,
images_to_score_20260516 2,250060_LeafPhotoA_2025-10-01 08_56_35.775-05_00.jpg,Libia,3.0,2026-05-18T09:23:40,
images_to_score_20260516 2,250231_LeafPhotoA_2025-10-01 09_45_12.570-05_00.jpg,Libia,3.0,2026-05-18T09:23:42,
images_to_score_20260516 2,250649_LeafPhotoA_2025-10-03 09_40_35.138-05_00.jpg,Libia,2.5,2026-05-18T09:23:46,
images_to_score_20260516 2,250126_LeafPhotoA_2025-10-01 10_10_03.328-05_00.jpg,Libia,2.5,2026-05-18T09:23:48,
images_to_score_20260516 2,250223_LeafPhotoA_2025-10-01 13_36_43.429-05_00.jpg,Libia,2.5,2026-05-18T09:23:50,
images_to_score_20260516 2,250596_LeafPhotoA_2025-10-03 08_53_00.214-05_00.jpg,Libia,3.0,2026-05-18T09:23:52,
images_to_score_20260516 2,250448_LeafPhotoA_2025-10-02 13_41_13.527-05_00.jpg,Libia,2.5,2026-05-18T09:23:54,
images_to_score_20260516 2,250191_LeafPhotoA_2025-10-01 09_55_24.211-05_00.jpg,Libia,3.0,2026-05-18T09:23:57,
images_to_score_20260516 2,250443_LeafPhotoA_2025-10-02 13_48_51.579-05_00.jpg,Libia,2.0,2026-05-18T09:24:04,
images_to_score_20260516 2,250112_LeafPhotoA_2025-10-01 10_05_32.331-05_00.jpg,Libia,3.0,2026-05-18T09:24:05,
images_to_score_20260516 2,250125_LeafPhotoA_2025-10-01 10_11_06.991-05_00.jpg,Libia,3.0,2026-05-18T09:24:08,
images_to_score_20260516 2,250371_LeafPhotoA_2025-10-01 14_34_36.575-05_00.jpg,Libia,3.5,2026-05-18T09:24:10,
images_to_score_20260516 2,250512_LeafPhotoA_2025-10-03 09_05_59.550-05_00.jpg,Libia,2.0,2026-05-18T09:24:14,
images_to_score_20260516 2,250353_LeafPhotoA_2025-10-01 14_12_37.114-05_00.jpg,Libia,2.0,2026-05-18T09:24:16,
images_to_score_20260516 2,250345_LeafPhotoA_2025-10-01 14_16_14.260-05_00.jpg,Libia,2.5,2026-05-18T09:24:19,
images_to_score_20260516 2,250423_LeafPhotoA_2025-10-02 13_42_22.942-05_00.jpg,Libia,2.0,2026-05-18T09:24:21,
