"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"1","250037","PI 17548","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250037_LeafPhotoA_2025-10-01%2008_41_13.539-05_00.jpg","2025-10-01 08:41:13.940-05:00"," ","","3","SM-A166U1"
"1","250037","PI 17548","Rep 1","SAP","LeafPhotoNotesA","plants are matured so hard to get good leaves ","2025-10-01 08:42:14.293-05:00"," ","","1","SM-A166U1"
"679","250038","PI 656076","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250038_LeafPhotoA_2025-10-01%2008_43_22.997-05_00.jpg","2025-10-01 08:43:23.599-05:00"," ","","1","SM-A166U1"
"679","250038","PI 656076","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250038_LeafPhotoA_2025-10-01%2008_44_04.345-05_00.jpg","2025-10-01 08:44:04.851-05:00"," ","","2","SM-A166U1"
"679","250038","PI 656076","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250038_LeafPhotoA_2025-10-01%2008_44_23.121-05_00.jpg","2025-10-01 08:44:23.499-05:00"," ","","3","SM-A166U1"
"483","250039","PI 576393","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250039_LeafPhotoA_2025-10-01%2008_46_28.099-05_00.jpg","2025-10-01 08:46:28.517-05:00"," ","","1","SM-A166U1"
"483","250039","PI 576393","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250039_LeafPhotoA_2025-10-01%2008_46_54.850-05_00.jpg","2025-10-01 08:46:55.197-05:00"," ","","2","SM-A166U1"
"483","250039","PI 576393","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250039_LeafPhotoA_2025-10-01%2008_47_53.954-05_00.jpg","2025-10-01 08:47:54.402-05:00"," ","","3","SM-A166U1"
"483","250039","PI 576393","Rep 1","SAP","LeafPhotoNotesA","pictures taken from single plant ","2025-10-01 08:48:36.101-05:00"," ","","1","SM-A166U1"
"237","250040","PI 533842","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250040_LeafPhotoA_2025-10-01%2008_49_56.211-05_00.jpg","2025-10-01 08:49:56.733-05:00"," ","","1","SM-A166U1"
"237","250040","PI 533842","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250040_LeafPhotoA_2025-10-01%2008_50_19.937-05_00.jpg","2025-10-01 08:50:20.329-05:00"," ","","2","SM-A166U1"
"237","250040","PI 533842","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250040_LeafPhotoA_2025-10-01%2008_50_33.489-05_00.jpg","2025-10-01 08:50:33.966-05:00"," ","","3","SM-A166U1"
"666","250041","PI 656058","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250041_LeafPhotoA_2025-10-01%2008_51_48.934-05_00.jpg","2025-10-01 08:51:49.442-05:00"," ","","1","SM-A166U1"
"666","250041","PI 656058","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250041_LeafPhotoA_2025-10-01%2008_52_10.612-05_00.jpg","2025-10-01 08:52:10.992-05:00"," ","","2","SM-A166U1"
"666","250041","PI 656058","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250041_LeafPhotoA_2025-10-01%2008_52_23.772-05_00.jpg","2025-10-01 08:52:24.212-05:00"," ","","3","SM-A166U1"
"212","250042","PI 533752","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250042_LeafPhotoA_2025-10-01%2008_53_46.110-05_00.jpg","2025-10-01 08:53:46.540-05:00"," ","","1","SM-A166U1"
"212","250042","PI 533752","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250042_LeafPhotoA_2025-10-01%2008_54_17.459-05_00.jpg","2025-10-01 08:54:17.876-05:00"," ","","2","SM-A166U1"
"212","250042","PI 533752","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250042_LeafPhotoA_2025-10-01%2008_54_31.249-05_00.jpg","2025-10-01 08:54:31.709-05:00"," ","","3","SM-A166U1"
"212","250042","PI 533752","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250042_LeafPhotoA_2025-10-01%2008_54_47.276-05_00.jpg","2025-10-01 08:54:47.754-05:00"," ","","4","SM-A166U1"
"212","250042","PI 533752","Rep 1","SAP","LeafPhotoNotesA","high aphid infrststion, one picture of abaxial surface is taken to show the presence of aphids ","2025-10-01 08:58:25.718-05:00"," ","","1","SM-A166U1"
"709","250043","PI 656117","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250043_LeafPhotoA_2025-10-01%2008_59_10.324-05_00.jpg","2025-10-01 08:59:10.941-05:00"," ","","1","SM-A166U1"
"709","250043","PI 656117","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250043_LeafPhotoA_2025-10-01%2008_59_23.355-05_00.jpg","2025-10-01 08:59:23.947-05:00"," ","","2","SM-A166U1"
"709","250043","PI 656117","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250043_LeafPhotoA_2025-10-01%2008_59_37.918-05_00.jpg","2025-10-01 08:59:38.450-05:00"," ","","3","SM-A166U1"
"651","250044","PI 656038","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250044_LeafPhotoA_2025-10-01%2009_00_30.520-05_00.jpg","2025-10-01 09:00:31.038-05:00"," ","","1","SM-A166U1"
"651","250044","PI 656038","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250044_LeafPhotoA_2025-10-01%2009_00_41.440-05_00.jpg","2025-10-01 09:00:41.924-05:00"," ","","2","SM-A166U1"
"651","250044","PI 656038","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250044_LeafPhotoA_2025-10-01%2009_00_55.383-05_00.jpg","2025-10-01 09:00:55.808-05:00"," ","","3","SM-A166U1"
"651","250044","PI 656038","Rep 1","SAP","LeafPhotoNotesA","pictures taken from two plants ","2025-10-01 09:01:15.136-05:00"," ","","1","SM-A166U1"
"273","250045","PI 533956","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250045_LeafPhotoA_2025-10-01%2009_01_58.025-05_00.jpg","2025-10-01 09:01:59.357-05:00"," ","","1","SM-A166U1"
"273","250045","PI 533956","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250045_LeafPhotoA_2025-10-01%2009_02_31.696-05_00.jpg","2025-10-01 09:02:32.699-05:00"," ","","2","SM-A166U1"
"273","250045","PI 533956","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250045_LeafPhotoA_2025-10-01%2009_02_57.693-05_00.jpg","2025-10-01 09:02:58.165-05:00"," ","","3","SM-A166U1"
"250","250046","PI 533878","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250046_LeafPhotoA_2025-10-01%2009_04_01.998-05_00.jpg","2025-10-01 09:04:02.877-05:00"," ","","1","SM-A166U1"
"250","250046","PI 533878","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250046_LeafPhotoA_2025-10-01%2009_04_14.225-05_00.jpg","2025-10-01 09:04:14.659-05:00"," ","","2","SM-A166U1"
"250","250046","PI 533878","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250046_LeafPhotoA_2025-10-01%2009_04_29.157-05_00.jpg","2025-10-01 09:04:29.584-05:00"," ","","3","SM-A166U1"
"296","250047","PI 534046","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250047_LeafPhotoA_2025-10-01%2009_05_37.741-05_00.jpg","2025-10-01 09:05:38.277-05:00"," ","","1","SM-A166U1"
"296","250047","PI 534046","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250047_LeafPhotoA_2025-10-01%2009_05_51.767-05_00.jpg","2025-10-01 09:05:52.395-05:00"," ","","2","SM-A166U1"
"296","250047","PI 534046","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250047_LeafPhotoA_2025-10-01%2009_06_04.002-05_00.jpg","2025-10-01 09:06:04.507-05:00"," ","","3","SM-A166U1"
"661","250048","PI 656050","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250048_LeafPhotoA_2025-10-01%2009_06_49.647-05_00.jpg","2025-10-01 09:06:50.275-05:00"," ","","1","SM-A166U1"
"661","250048","PI 656050","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250048_LeafPhotoA_2025-10-01%2009_07_03.099-05_00.jpg","2025-10-01 09:07:03.499-05:00"," ","","2","SM-A166U1"
"661","250048","PI 656050","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250048_LeafPhotoA_2025-10-01%2009_07_12.573-05_00.jpg","2025-10-01 09:07:12.991-05:00"," ","","3","SM-A166U1"
"661","250048","PI 656050","Rep 1","SAP","LeafPhotoNotesA","photos takrn from single plant ","2025-10-01 09:07:31.328-05:00"," ","","1","SM-A166U1"
"257","250081","PI 533912","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250081_LeafPhotoA_2025-10-01%2009_36_59.444-05_00.jpg","2025-10-01 09:36:59.978-05:00"," ","","1","SM-A166U1"
"257","250081","PI 533912","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250081_LeafPhotoA_2025-10-01%2009_37_10.569-05_00.jpg","2025-10-01 09:37:11.068-05:00"," ","","2","SM-A166U1"
"257","250081","PI 533912","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250081_LeafPhotoA_2025-10-01%2009_37_22.200-05_00.jpg","2025-10-01 09:37:22.723-05:00"," ","","3","SM-A166U1"
"235","250082","PI 533839","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250082_LeafPhotoA_2025-10-01%2009_35_55.387-05_00.jpg","2025-10-01 09:35:55.967-05:00"," ","","1","SM-A166U1"
"235","250082","PI 533839","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250082_LeafPhotoA_2025-10-01%2009_36_08.349-05_00.jpg","2025-10-01 09:36:08.874-05:00"," ","","2","SM-A166U1"
"235","250082","PI 533839","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250082_LeafPhotoA_2025-10-01%2009_36_18.618-05_00.jpg","2025-10-01 09:36:19.123-05:00"," ","","3","SM-A166U1"
"266","250083","PI 533939","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250083_LeafPhotoA_2025-10-01%2009_34_27.863-05_00.jpg","2025-10-01 09:34:28.498-05:00"," ","","1","SM-A166U1"
"266","250083","PI 533939","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250083_LeafPhotoA_2025-10-01%2009_34_40.013-05_00.jpg","2025-10-01 09:34:40.564-05:00"," ","","2","SM-A166U1"
"266","250083","PI 533939","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250083_LeafPhotoA_2025-10-01%2009_34_55.595-05_00.jpg","2025-10-01 09:34:56.112-05:00"," ","","3","SM-A166U1"
"266","250083","PI 533939","Rep 1","SAP","LeafPhotoNotesA","aphid infeststion ","2025-10-01 09:35:09.348-05:00"," ","","1","SM-A166U1"
"274","250084","PI 533957","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250084_LeafPhotoA_2025-10-01%2009_33_00.848-05_00.jpg","2025-10-01 09:33:01.444-05:00"," ","","1","SM-A166U1"
"274","250084","PI 533957","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250084_LeafPhotoA_2025-10-01%2009_33_29.858-05_00.jpg","2025-10-01 09:33:30.313-05:00"," ","","2","SM-A166U1"
"274","250084","PI 533957","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250084_LeafPhotoA_2025-10-01%2009_33_42.784-05_00.jpg","2025-10-01 09:33:43.267-05:00"," ","","3","SM-A166U1"
"541","250085","PI 597968","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250085_LeafPhotoA_2025-10-01%2009_31_31.405-05_00.jpg","2025-10-01 09:31:31.878-05:00"," ","","1","SM-A166U1"
"541","250085","PI 597968","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250085_LeafPhotoA_2025-10-01%2009_31_43.547-05_00.jpg","2025-10-01 09:31:43.993-05:00"," ","","2","SM-A166U1"
"541","250085","PI 597968","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250085_LeafPhotoA_2025-10-01%2009_31_55.223-05_00.jpg","2025-10-01 09:31:55.772-05:00"," ","","3","SM-A166U1"
"541","250085","PI 597968","Rep 1","SAP","LeafPhotoNotesA","photos from two plants ","2025-10-01 09:32:21.539-05:00"," ","","1","SM-A166U1"
"677","250086","PI 656074","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250086_LeafPhotoA_2025-10-01%2009_30_16.379-05_00.jpg","2025-10-01 09:30:17.141-05:00"," ","","1","SM-A166U1"
"677","250086","PI 656074","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250086_LeafPhotoA_2025-10-01%2009_30_30.688-05_00.jpg","2025-10-01 09:30:31.219-05:00"," ","","2","SM-A166U1"
"677","250086","PI 656074","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250086_LeafPhotoA_2025-10-01%2009_30_44.942-05_00.jpg","2025-10-01 09:30:45.492-05:00"," ","","3","SM-A166U1"
"660","250087","PI 656049","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250087_LeafPhotoA_2025-10-01%2009_29_16.707-05_00.jpg","2025-10-01 09:29:17.347-05:00"," ","","1","SM-A166U1"
"660","250087","PI 656049","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250087_LeafPhotoA_2025-10-01%2009_29_28.346-05_00.jpg","2025-10-01 09:29:28.863-05:00"," ","","2","SM-A166U1"
"660","250087","PI 656049","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250087_LeafPhotoA_2025-10-01%2009_29_40.038-05_00.jpg","2025-10-01 09:29:40.563-05:00"," ","","3","SM-A166U1"
"655","250088","PI 656043","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250088_LeafPhotoA_2025-10-01%2009_28_10.035-05_00.jpg","2025-10-01 09:28:10.735-05:00"," ","","1","SM-A166U1"
"655","250088","PI 656043","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250088_LeafPhotoA_2025-10-01%2009_28_19.454-05_00.jpg","2025-10-01 09:28:19.924-05:00"," ","","2","SM-A166U1"
"655","250088","PI 656043","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250088_LeafPhotoA_2025-10-01%2009_28_31.621-05_00.jpg","2025-10-01 09:28:32.210-05:00"," ","","3","SM-A166U1"
"676","250089","PI 656072","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250089_LeafPhotoA_2025-10-01%2009_26_43.431-05_00.jpg","2025-10-01 09:26:43.976-05:00"," ","","1","SM-A166U1"
"676","250089","PI 656072","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250089_LeafPhotoA_2025-10-01%2009_26_57.829-05_00.jpg","2025-10-01 09:26:58.306-05:00"," ","","2","SM-A166U1"
"676","250089","PI 656072","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250089_LeafPhotoA_2025-10-01%2009_27_08.107-05_00.jpg","2025-10-01 09:27:08.535-05:00"," ","","3","SM-A166U1"
"684","250090","PI 656085","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250090_LeafPhotoA_2025-10-01%2009_24_53.767-05_00.jpg","2025-10-01 09:24:54.214-05:00"," ","","1","SM-A166U1"
