genotype,plotNumber,block,range,row,poundsOfNitrogenPerAcre
SAP-395,11315,1,15,13,100
SC 301,11316,1,16,13,100
Check,11317,1,17,13,100
TX 399(DALHART RES WHTLND)B LN,11318,1,18,13,100
PL 47,11319,1,19,13,100
2033Z-3,11320,1,20,13,100
EC 21360 G29,11321,1,21,13,100
Check,11322,1,22,13,100
SAP-286,11323,1,23,13,100
SPUR FETERITA,11324,1,24,13,100
Check,11325,1,25,13,100
SAP-380,11326,1,26,13,100
Check,11327,1,27,13,100
BTx638,11401,1,1,14,100
Check,11402,1,2,14,100
SAP-404,11403,1,3,14,100
RCV,11404,1,4,14,100
Standard Blackhull Kafir,11405,1,5,14,100
SAP-386,11406,1,6,14,100
Marupantse,11407,1,7,14,100
IS 8525(J),11408,1,8,14,100
Check,11409,1,9,14,100
Culum Brick,11410,1,10,14,100
Check,11411,1,11,14,100
Mugbash 56/56,11412,1,12,14,100
BTx2928,11413,1,13,14,100
Check,11414,1,14,14,100
SAP-170,11415,1,15,14,100
REDBINE-60,11416,1,16,14,100
STANDARD WHITE MILO,11417,1,17,14,100
SC 1416,11418,1,18,14,100
KA 15 Yazgar Giwa,11419,1,19,14,100
Feterita Geshaish,11420,1,20,14,100
M 1,11421,1,21,14,100
WACONIA,11422,1,22,14,100
SAP-158,11423,1,23,14,100
TAM2566,11424,1,24,14,100
Check,11425,1,25,14,100
KAT83369,11426,1,26,14,100
Tx2785,11427,1,27,14,100
Check,11501,1,1,15,100
DWARF YELLOW MILO,11502,1,2,15,100
SURENO,11503,1,3,15,100
ICSV 1089BF,11504,1,4,15,100
ICSV 401,11505,1,5,15,100
Check,11506,1,6,15,100
COMBINE 7078,11507,1,7,15,100
Check,11508,1,8,15,100
P898012,11509,1,9,15,100
IS 18684,11510,1,10,15,100
"R1,38",11511,1,11,15,100
Klor,11512,1,12,15,100
SAP-175,11513,1,13,15,100
Kharuth Waragel,11514,1,14,15,100
Akwu,11515,1,15,15,100
60M,11516,1,16,15,100
QL3-TEXAS,11517,1,17,15,100
SC 1424,11518,1,18,15,100
AS 4136 Masaka Luwemba,11519,1,19,15,100
AS 5826 Holcus,11520,1,20,15,100
Tambroro 7,11521,1,21,15,100
F.R. Miller,11522,1,22,15,100
SAP-173,11523,1,23,15,100
SAP-135,11524,1,24,15,100
IS 7151C,11525,1,25,15,100
CAPROCK,11526,1,26,15,100
SUGAR DRIP,11527,1,27,15,100
MACIA,11601,1,1,16,100
Butivori,11602,1,2,16,100
RTx436,11603,1,3,16,100
Check,11604,1,4,16,100
Kuyuma,11605,1,5,16,100
Check,11606,1,6,16,100
Check,11607,1,7,16,100
SC 1471,11608,1,8,16,100
IS 5590C,11609,1,9,16,100
P 3749 Q2/5/62,11610,1,10,16,100
Zera Zera White,11611,1,11,16,100
Check,11612,1,12,16,100
SAP-197,11613,1,13,16,100
A-106,11614,1,14,16,100
"No. 28 Lyle, Marawa Ethiopia",11615,1,15,16,100
SC 1429,11616,1,16,16,100
SC 1489,11617,1,17,16,100
SC 1440,11618,1,18,16,100
Check,11619,1,19,16,100
Kabutuwa,11620,1,20,16,100
Check,11621,1,21,16,100
Check,11622,1,22,16,100
Check,11623,1,23,16,100
SAP-172,11624,1,24,16,100
SC 1463,11625,1,25,16,100
Check,11626,1,26,16,100
TX 3197 (COMB KAFIR 60) B LINE,11627,1,27,16,100
Jola Nandyal,20101,2,1,17,180
SAP-275,20102,2,2,17,180
K037 Camjin,20103,2,3,17,180
WHEATLAND,20104,2,4,17,180
Check,20105,2,5,17,180
RTX434,20106,2,6,17,180
SC 1277,20107,2,7,17,180
SC 22,20108,2,8,17,180
Check,20109,2,9,17,180
J.A.T.S. #67,20110,2,10,17,180
BTx638,20111,2,11,17,180
IS 12661,20112,2,12,17,180
80M,20113,2,13,17,180
Kuyuma,20114,2,14,17,180
SAP-131,20115,2,15,17,180
Check,20116,2,16,17,180
IS 8525(J),20117,2,17,17,180
P898012,20118,2,18,17,180
Maja Abiad Q2/2/68,20119,2,19,17,180
Check,20120,2,20,17,180
255 Tirter,20121,2,21,17,180
BTx2928,20122,2,22,17,180
SAP-150,20123,2,23,17,180
SAP-312,20124,2,24,17,180
BTx615,20125,2,25,17,180
Check,20126,2,26,17,180
QL3-TEXAS,20127,2,27,17,180
SAP-206,20201,2,1,18,180
Check,20202,2,2,18,180
18NL048 @-01,20203,2,3,18,180
Check,20204,2,4,18,180
RTX435,20205,2,5,18,180
SAP-225,20206,2,6,18,180
R9188,20207,2,7,18,180
Check,20208,2,8,18,180
SC 748-5,20209,2,9,18,180
SAP-294,20210,2,10,18,180
SURENO,20211,2,11,18,180
Check,20212,2,12,18,180
SEPON82,20213,2,13,18,180
SAP-166,20214,2,14,18,180
Check,20215,2,15,18,180
Check,20216,2,16,18,180
Check,20217,2,17,18,180
SC 1451,20218,2,18,18,180
BE 25,20219,2,19,18,180
IS 18684,20220,2,20,18,180
Klor,20221,2,21,18,180
SAP-395,20222,2,22,18,180
A-106,20223,2,23,18,180
SAP-323,20224,2,24,18,180
Check,20225,2,25,18,180
TX 399(DALHART RES WHTLND)B LN,20226,2,26,18,180
Check,20227,2,27,18,180
Check,20301,2,1,19,180
Brawley,20302,2,2,19,180
T 28,20303,2,3,19,180
RTx430_(XK: fromBillRooney_TAMU_2024),20304,2,4,19,180
Check,20305,2,5,19,180
BOK11,20306,2,6,19,180
Ajabsido,20307,2,7,19,180
SC 326-6,20308,2,8,19,180
Check,20309,2,9,19,180
DWARF YELLOW MILO,20310,2,10,19,180
WHITE KAFIR,20311,2,11,19,180
Mashica,20312,2,12,19,180
SAP-386,20313,2,13,19,180
RCV,20314,2,14,19,180
Town,20315,2,15,19,180
96CD635,20316,2,16,19,180
SC 498,20317,2,17,19,180
COMBINE KAFIR-60,20318,2,18,19,180
No. 755 Muzeba,20319,2,19,19,180
Check,20320,2,20,19,180
6428 Sian,20321,2,21,19,180
Check,20322,2,22,19,180
SAP-139,20323,2,23,19,180
Chari Uri,20324,2,24,19,180
REDBINE-60,20325,2,25,19,180
60M,20326,2,26,19,180
SC 1489,20327,2,27,19,180
Deburr,20401,2,1,20,180
Dobbs,20402,2,2,20,180
"No. 69 Mashela Tinguish, Warakul Ethiopi",20403,2,3,20,180
Check,20404,2,4,20,180
Check,20405,2,5,20,180
Tx2917,20406,2,6,20,180
QL3(India),20407,2,7,20,180
88V1080,20408,2,8,20,180
RTAM428,20409,2,9,20,180
Check,20410,2,10,20,180
ICSV 745,20411,2,11,20,180
Butivori,20412,2,12,20,180
Check,20413,2,13,20,180
Check,20414,2,14,20,180
ICSV 401,20415,2,15,20,180
Check,20416,2,16,20,180
Check,20417,2,17,20,180
SC 170-6-17,20418,2,18,20,180
"R1,38",20419,2,19,20,180
Check,20420,2,20,20,180
Kokla,20421,2,21,20,180
"No. 28 Lyle, Marawa Ethiopia",20422,2,22,20,180
EC 21361 G30,20423,2,23,20,180
RTx437,20424,2,24,20,180
STANDARD WHITE MILO,20425,2,25,20,180
SC 1465,20426,2,26,20,180
N250B,20427,2,27,20,180
Check,20501,2,1,21,180
"Orange No. l, Baijo",20502,2,2,21,180
No. 35 Mab,20503,2,3,21,180
Ex-Mubi,20504,2,4,21,180
No. 64 Netch Addesho Ethiopia,20505,2,5,21,180
Tx2891,20506,2,6,21,180
Check,20507,2,7,21,180
SOBERANO,20508,2,8,21,180
Tortillerio,20509,2,9,21,180
KA 21 Gajerar Kaura,20510,2,10,21,180
Bonkum,20511,2,11,21,180
SB-283,20512,2,12,21,180
Check,20513,2,13,21,180
Check,20514,2,14,21,180
Mashica,20515,2,15,21,180
SC 1271,20516,2,16,21,180
MR732,20517,2,17,21,180
SC 1074,20518,2,18,21,180
Sinidyil 177,20519,2,19,21,180
P 3742,20520,2,20,21,180
Huria White 621,20521,2,21,21,180
Lambas,20522,2,22,21,180
SAP-151,20523,2,23,21,180
SAP-149,20524,2,24,21,180
M35-1,20525,2,25,21,180
SC 1424,20526,2,26,21,180
Check,20527,2,27,21,180
Malwal Aweil,20601,2,1,22,180
Check,20602,2,2,22,180
AS 2613 NT,20603,2,3,22,180
Nkuli Swaziland,20604,2,4,22,180
Check,20605,2,5,22,180
SAP-128,20606,2,6,22,180
Check,20607,2,7,22,180
JOCORO,20608,2,8,22,180
N290B,20609,2,9,22,180
Check,20610,2,10,22,180
RTx436,20611,2,11,22,180
F.C.I. 4201,20612,2,12,22,180
RIO,20613,2,13,22,180
ICSV 400,20614,2,14,22,180
Segaolane,20615,2,15,22,180
SC 702,20616,2,16,22,180
Check,20617,2,17,22,180
IS 5590C,20618,2,18,22,180
Culum Brick,20619,2,19,22,180
K.3 Perimanjial Irungu Cholam,20620,2,20,22,180
MN 1592 (preconverted),20621,2,21,22,180
SAP-170,20622,2,22,22,180
SAP-168,20623,2,23,22,180
Check,20624,2,24,22,180
RTx2910,20625,2,25,22,180
SC 1416,20626,2,26,22,180
SC 391,20627,2,27,22,180
SV 34,20701,2,1,23,180
Check,20702,2,2,23,180
SAP-148,20703,2,3,23,180
SAP-133,20704,2,4,23,180
SAP-154,20705,2,5,23,180
SAP-340,20706,2,6,23,180
SC 968,20707,2,7,23,180
Dorado,20708,2,8,23,180
Check,20709,2,9,23,180
Check,20710,2,10,23,180
Check,20711,2,11,23,180
SAP-404,20712,2,12,23,180
Standard Blackhull Kafir,20713,2,13,23,180
Check,20714,2,14,23,180
DEER,20715,2,15,23,180
SC 1471,20716,2,16,23,180
Marupantse,20717,2,17,23,180
SC 971,20718,2,18,23,180
Nebraska 6350,20719,2,19,23,180
Zera Zera White,20720,2,20,23,180
P 3749 Q2/5/62,20721,2,21,23,180
Marupantse,20722,2,22,23,180
Kharuth Waragel,20723,2,23,23,180
EC 21428 SB 63,20724,2,24,23,180
SC 1440,20725,2,25,23,180
SC 373,20726,2,26,23,180
SC 1429,20727,2,27,23,180
IS 18696,20801,2,1,24,180
Accho Karuho,20802,2,2,24,180
740 Oua Berr,20803,2,3,24,180
SAP-341,20804,2,4,24,180
Mashica,20805,2,5,24,180
Check,20806,2,6,24,180
SUMAC,20807,2,7,24,180
SC 172,20808,2,8,24,180
BTx642,20809,2,9,24,180
MACIA,20810,2,10,24,180
Jonar Tamargundi,20811,2,11,24,180
Kodilib,20812,2,12,24,180
ICSV 1089BF,20813,2,13,24,180
Check,20814,2,14,24,180
SAP-137,20815,2,15,24,180
Check,20816,2,16,24,180
COMBINE 7078,20817,2,17,24,180
SC 25,20818,2,18,24,180
BA45 Faria Bonkum,20819,2,19,24,180
Mugbash 56/56,20820,2,20,24,180
Check,20821,2,21,24,180
SAP-197,20822,2,22,24,180
SAP-175,20823,2,23,24,180
Akwu,20824,2,24,24,180
Check,20825,2,25,24,180
BTx623_(XK: fromBillRooney_TAMU_2024),20826,2,26,24,180
SC 301,20827,2,27,24,180
PL 47,20901,2,1,25,180
KA 15 Yazgar Giwa,20902,2,2,25,180
Kabutuwa,20903,2,3,25,180
SAP-336,20904,2,4,25,180
SAN CHI SAN,20905,2,5,25,180
Check,20906,2,6,25,180
SC 610,20907,2,7,25,180
Check,20908,2,8,25,180
TX 378 (REDLAN) B LINE,20909,2,9,25,180
Check,20910,2,10,25,180
EC 18246 (preconverted),20911,2,11,25,180
Cholia Talijhari,20912,2,12,25,180
Check,20913,2,13,25,180
RTX433,20914,2,14,25,180
SAP-325,20915,2,15,25,180
ROX ORANGE,20916,2,16,25,180
SC 145,20917,2,17,25,180
Check,20918,2,18,25,180
MN 707 (preconverted),20919,2,19,25,180
Sorghum Soroti,20920,2,20,25,180
Check,20921,2,21,25,180
SAP-159,20922,2,22,25,180
Check,20923,2,23,25,180
MARTIN,20924,2,24,25,180
SC 947,20925,2,25,25,180
SC 85,20926,2,26,25,180
Check,20927,2,27,25,180
Tuery 11,21001,2,1,26,180
Budy,21002,2,2,26,180
Tambroro 7,21003,2,3,26,180
Check,21004,2,4,26,180
SAP-157,21005,2,5,26,180
TEXAS BLACKHULL KAFIR,21006,2,6,26,180
TX 3197 (COMB KAFIR 60) B LINE,21007,2,7,26,180
WILEY,21008,2,8,26,180
SC 1484,21009,2,9,26,180
AS4616 Balangira-Mwanza,21010,2,10,26,180
"R1,4",21011,2,11,26,180
Jola Nandyal,21012,2,12,26,180
Check,21013,2,13,26,180
SAP-141,21014,2,14,26,180
Rexx,21015,2,15,26,180
BTx2752,21016,2,16,26,180
Check,21017,2,17,26,180
P9517,21018,2,18,26,180
Hamaisi 38,21019,2,19,26,180
ZA 71,21020,2,20,26,180
Kireniga 317,21021,2,21,26,180
Mashica,21022,2,22,26,180
IS 3515C,21023,2,23,26,180
Jowar Red Jankinagar,21024,2,24,26,180
SC 1476,21025,2,25,26,180
P-721,21026,2,26,26,180
Shan Qui Red,21027,2,27,26,180
EC 21360 G29,21101,2,1,27,180
SAP-263,21102,2,2,27,180
Barking 119,21103,2,3,27,180
SAP-173,21104,2,4,27,180
SAP-264,21105,2,5,27,180
SAP-135,21106,2,6,27,180
SC 1494,21107,2,7,27,180
Check,21108,2,8,27,180
SC 695,21109,2,9,27,180
Monshal,21110,2,10,27,180
"No. 65 Amelsie, Kimbolcha Ethiopia",21111,2,11,27,180
Check,21112,2,12,27,180
R TX 431,21113,2,13,27,180
SAP-347,21114,2,14,27,180
SAP-124,21115,2,15,27,180
CHILTEX,21116,2,16,27,180
Ramada_(XK: fromTomClemente_UNL_2024),21117,2,17,27,180
Pinolero 1,21118,2,18,27,180
No. 4 Hadoui,21119,2,19,27,180
AS 4055 N Kambwa,21120,2,20,27,180
SAP-219,21121,2,21,27,180
SAP-342,21122,2,22,27,180
SAP-280,21123,2,23,27,180
Check,21124,2,24,27,180
TX2784,21125,2,25,27,180
BTx406,21126,2,26,27,180
RTx2536,21127,2,27,27,180
RED AMBER,21201,2,1,28,180
Feterita Geshaish,21202,2,2,28,180
Chanan Singoo,21203,2,3,28,180
Tx2741,21204,2,4,28,180
WACONIA,21205,2,5,28,180
SAP-286,21206,2,6,28,180
Check,21207,2,7,28,180
SAP-380,21208,2,8,28,180
SUGAR DRIP,21209,2,9,28,180
"Safara, Kordafan",21210,2,10,28,180
EC 21463 STR 5/1,21211,2,11,28,180
"No. 37 Ubi, Abelti Ethiopia",21212,2,12,28,180
WRAY_(XK: fromBIllRooney_TAMU_2024),21213,2,13,28,180
Tx2911,21214,2,14,28,180
A/BTxARG-1,21215,2,15,28,180
IS 12623C,21216,2,16,28,180
SC 480,21217,2,17,28,180
SC 1426,21218,2,18,28,180
Check,21219,2,19,28,180
No. 1 Gambela,21220,2,20,28,180
450 Bori Light Brown,21221,2,21,28,180
DAY MILO,21222,2,22,28,180
SAP-134,21223,2,23,28,180
SAP-311,21224,2,24,28,180
Check,21225,2,25,28,180
SC 621,21226,2,26,28,180
KELLER,21227,2,27,28,180
M 1,21301,2,1,29,180
Check,21302,2,2,29,180
Check,21303,2,3,29,180
MN 708 (preconverted),21304,2,4,29,180
TAM2566,21305,2,5,29,180
Check,21306,2,6,29,180
Check,21307,2,7,29,180
Check,21308,2,8,29,180
KAT83369,21309,2,9,29,180
Msumbji SB 117,21310,2,10,29,180
"R4, B1",21311,2,11,29,180
AS4660 Kikuma,21312,2,12,29,180
Check,21313,2,13,29,180
Check,21314,2,14,29,180
TX2783,21315,2,15,29,180
SC 332,21316,2,16,29,180
DELLA,21317,2,17,29,180
P850029,21318,2,18,29,180
Bulfontein White Kafir Corn DL/60/133,21319,2,19,29,180
Wit Lichtenburg DL/59/1530,21320,2,20,29,180
18NL277 @-01,21321,2,21,29,180
SAP-162,21322,2,22,29,180
Check,21323,2,23,29,180
A 84,21324,2,24,29,180
