gene_id,category,source_sheet,CHROM,gene_start,gene_end,locus_id,locus_start,locus_end
Sobic.001G272800,proposed_anthracnose,candidates,1,56838288,56843318,1:56640579-56744059,56640579,56744059
Sobic.001G272700,proposed_anthracnose,candidates,1,56809279,56810672,1:56640579-56744059,56640579,56744059
Sobic.003G430000,proposed_anthracnose,candidates,3,79690347,79691915,3:79695901-79830390,79695901,79830390
Sobic.007G163100,proposed_anthracnose,candidates,7,63096573,63107410,7:62853152-63323476,62853152,63323476
Sobic.001G185000,proposed_anthracnose,candidates,1,15952989,15956905,1:15780080-15922053,15780080,15922053
Sobic.001G185100,proposed_anthracnose,candidates,1,15961129,15962363,1:15780080-15922053,15780080,15922053
Sobic.006G225800,proposed_anthracnose,candidates,6,58529217,58533071,6:57881583-58658248,57881583,58658248
Sobic.004G326400,proposed_anthracnose,candidates,4,68679922,68684764,4:68547834-68802030,68547834,68802030
Sobic.002G022600,proposed_anthracnose,candidates,2,2068840,2074983,2:2096443-2301513,2096443,2301513
Sobic.005G160400,proposed_anthracnose,candidates,5,68456818,68461496,5:68389789-68456427,68389789,68456427
Sobic.005G177500,proposed_anthracnose,candidates,5,71026181,71027447,5:70994272-71005263,70994272,71005263
Sobic.005G177600,proposed_anthracnose,candidates,5,71039349,71040556,5:70994272-71005263,70994272,71005263
Sobic.005G192600,proposed_anthracnose,candidates,5,72729498,72730496,5:72869134-72886963,72869134,72886963
Sobic.005G193600,proposed_anthracnose,candidates,5,72805664,72807677,5:72869134-72886963,72869134,72886963
Sobic.005G195000,proposed_anthracnose,candidates,5,72954110,72959612,5:72869134-72886963,72869134,72886963
Sobic.005G209000,proposed_anthracnose,candidates,5,74685075,74688213,5:74605627-74605627,74605627,74605627
Sobic.005G209100,proposed_anthracnose,candidates,5,74709222,74711539,5:74605627-74605627,74605627,74605627
Sobic.001G528200,proposed_anthracnose,candidates,1,83388564,83391145,1:83433148-83433148,83433148,83433148
Sobic.004G273600,proposed_anthracnose,candidates,4,64268067,64270241,4:64445411-65094100,64445411,65094100
Sobic.002G249000,proposed_other_disease,candidates_all_diseases,2,64926095,64930076,2:64714381-64783880,64714381,64783880
Sobic.001G111300,proposed_other_disease,candidates_all_diseases,1,8748519,8750840,1:8673651-8673651,8673651,8673651
Sobic.004G289700,proposed_other_disease,candidates_all_diseases,4,65606302,65607457,4:65405896-65526687,65405896,65526687
Sobic.002G224300,proposed_other_disease,candidates_all_diseases,2,62879934,62881671,2:62930055-62930088,62930055,62930088
Sobic.001G105900,proposed_other_disease,candidates_all_diseases,1,8185119,8187619,1:8148280-8148280,8148280,8148280
Sobic.003G207500,proposed_other_disease,candidates_all_diseases,3,60103082,60110499,3:60003345-60137214,60003345,60137214
Sobic.005G049600,proposed_other_disease,candidates_all_diseases,5,4768189,4773715,5:4904703-4904703,4904703,4904703
Sobic.005G076301,proposed_other_disease,candidates_all_diseases,5,9552926,9559708,5:9659089-9659089,9659089,9659089
Sobic.004G202700,proposed_other_disease,candidates_all_diseases,4,57969728,57971666,4:58055353-58055817,58055353,58055817
Sobic.001G430000,proposed_other_disease,candidates_all_diseases,1,75069836,75073435,1:75116681-75234437,75116681,75234437
Sobic.009G241000,proposed_other_disease,candidates_all_diseases,9,61614129,61616715,9:59312854-62791172,59312854,62791172
Sobic.009G229900,proposed_other_disease,candidates_all_diseases,9,60845973,60849220,9:59312854-62791172,59312854,62791172
Sobic.009G233000,proposed_other_disease,candidates_all_diseases,9,61068278,61073021,9:59312854-62791172,59312854,62791172
Sobic.002G261500,proposed_other_disease,candidates_all_diseases,2,65967030,65968114,2:65274344-65906142,65274344,65906142
Sobic.007G163500,proposed_other_disease,candidates_all_diseases,7,63160544,63163966,7:62853152-63323476,62853152,63323476
Sobic.003G099100,proposed_other_disease,candidates_all_diseases,3,8774795,8780883,3:8691957-8856682,8691957,8856682
Sobic.009G224200,proposed_other_disease,candidates_all_diseases,9,60442127,60443135,9:59312854-62791172,59312854,62791172
Sobic.004G332000,proposed_other_disease,candidates_all_diseases,4,69040472,69042258,4:69100351-69177741,69100351,69177741
