gene_id,category,source_sheet,CHROM,start,end
Sobic.005G193300,proposed_anthracnose,candidates,,,
Sobic.008G178500,proposed_anthracnose,candidates,8.0,64299260.0,64306364.0
Sobic.002G398200,proposed_anthracnose,candidates,2.0,76309904.0,76314126.0
Sobic.009G221000,proposed_anthracnose,candidates,9.0,60218404.0,60223920.0
Sobic.005G182200,proposed_anthracnose,candidates,5.0,71548177.0,71559924.0
Sobic.005G218201,proposed_anthracnose,candidates,5.0,75571929.0,75588530.0
Sobic.005G220200,proposed_anthracnose,candidates,5.0,75813964.0,75823260.0
Sobic.007G072000,proposed_anthracnose,candidates,,,
Sobic.007G189200,proposed_anthracnose,candidates,7.0,65571517.0,65576851.0
Sobic.008G101500,proposed_anthracnose,candidates,8.0,51244987.0,51251180.0
Sobic.008G150100,proposed_anthracnose,candidates,8.0,61372311.0,61379658.0
Sobic.008G174200,proposed_anthracnose,candidates,8.0,63933997.0,63937788.0
Sobic.008G178300,proposed_anthracnose,candidates,8.0,64284348.0,64290055.0
Sobic.008G189400,proposed_anthracnose,candidates,8.0,65438469.0,65448272.0
Sobic.008G189900,proposed_anthracnose,candidates,8.0,65467139.0,65473832.0
Sobic.009G013300,proposed_anthracnose,candidates,9.0,1190330.0,1195442.0
Sobic.009G013100,proposed_anthracnose,candidates,9.0,1171004.0,1176535.0
Sobic.005G075600,proposed_anthracnose,candidates,5.0,9476986.0,9482647.0
Sobic.005G076100,proposed_anthracnose,candidates,5.0,9529827.0,9536019.0
Sobic.007G006200,proposed_anthracnose,candidates,7.0,528476.0,534099.0
Sobic.005G212500,proposed_anthracnose,candidates,5.0,74983800.0,74991021.0
Sobic.009G004700,proposed_anthracnose,candidates,9.0,411928.0,420048.0
Sobic.005G102900,proposed_anthracnose,candidates,5.0,18297722.0,18309211.0
Sobic.002G321100,proposed_anthracnose,candidates,2.0,70587538.0,70593209.0
Sobic.006G001800,proposed_anthracnose,candidates,6.0,396137.0,400129.0
Sobic.002G321200,proposed_anthracnose,candidates,2.0,70594650.0,70598809.0
Sobic.009G046500,proposed_anthracnose,candidates,9.0,4434509.0,4437833.0
Sobic.005G192100,proposed_anthracnose,candidates,5.0,72659943.0,72664465.0
Sobic.009G008800,proposed_anthracnose,candidates,9.0,832089.0,833741.0
Sobic.009G126300,proposed_anthracnose,candidates,9.0,51708531.0,51723669.0
Sobic.010G012200,proposed_anthracnose,candidates,10.0,1077367.0,1078781.0
Sobic.005G172300,proposed_anthracnose,candidates,5.0,70248422.0,70250241.0
Sobic.005G182400,proposed_anthracnose,candidates,5.0,71572784.0,71578935.0
Sobic.005G228400,proposed_anthracnose,candidates,5.0,76751071.0,76758231.0
Sobic.001G377200,proposed_anthracnose,candidates,1.0,70683161.0,70685400.0
Sobic.001G379400,proposed_anthracnose,candidates,1.0,70921464.0,70923225.0
Sobic.001G451800,proposed_anthracnose,candidates,1.0,77018619.0,77024189.0
Sobic.008G065800,proposed_anthracnose,candidates,8.0,7563858.0,7566812.0
Sobic.009G162500,proposed_anthracnose,candidates,9.0,55712061.0,55717968.0
Sobic.006G274866,proposed_anthracnose,candidates,6.0,62020448.0,62026298.0
Sobic.003G401200,proposed_anthracnose,candidates,3.0,77363896.0,77367236.0
Sobic.005G194700,proposed_anthracnose,candidates,5.0,72939186.0,72942080.0
Sobic.005G166700,proposed_anthracnose,candidates,5.0,69461022.0,69463455.0
Sobic.008G183100,proposed_anthracnose,candidates,8.0,64725982.0,64730806.0
Sobic.003G203500,proposed_anthracnose,candidates,3.0,59630685.0,59638835.0
Sobic.002G268900,proposed_anthracnose,candidates,2.0,66577218.0,66581730.0
Sobic.003G118600,proposed_anthracnose,candidates,3.0,10783884.0,10794734.0
Sobic.001G272800,proposed_anthracnose,candidates,1.0,56838288.0,56843318.0
Sobic.001G272700,proposed_anthracnose,candidates,1.0,56809279.0,56810672.0
Sobic.008G065700,proposed_anthracnose,candidates,8.0,7548701.0,7552963.0
Sobic.003G430000,proposed_anthracnose,candidates,3.0,79690347.0,79691915.0
Sobic.007G163100,proposed_anthracnose,candidates,7.0,63096573.0,63107410.0
Sobic.001G185000,proposed_anthracnose,candidates,1.0,15952989.0,15956905.0
Sobic.001G185100,proposed_anthracnose,candidates,1.0,15961129.0,15962363.0
Sobic.001G359601,proposed_anthracnose,candidates,1.0,69071162.0,69071564.0
Sobic.001G419600,proposed_anthracnose,candidates,1.0,74176921.0,74179672.0
Sobic.006G225800,proposed_anthracnose,candidates,6.0,58529217.0,58533071.0
Sobic.009G126000,proposed_anthracnose,candidates,9.0,51639953.0,51647945.0
Sobic.004G335300,proposed_anthracnose,candidates,,,
Sobic.002G058100,proposed_anthracnose,candidates,2.0,5653061.0,5654371.0
Sobic.002G058200,proposed_anthracnose,candidates,2.0,5658452.0,5661997.0
Sobic.006G040401,proposed_anthracnose,candidates,6.0,22093379.0,22095304.0
Sobic.008G090900,proposed_anthracnose,candidates,8.0,38363728.0,38379074.0
Sobic.006G017500,proposed_anthracnose,candidates,6.0,2849705.0,2855948.0
Sobic.008G014300,proposed_anthracnose,candidates,8.0,1265589.0,1268320.0
Sobic.009G098300,proposed_anthracnose,candidates,9.0,39813065.0,39814469.0
Sobic.009G098200,proposed_anthracnose,candidates,9.0,39644121.0,39645012.0
Sobic.002G058400,proposed_anthracnose,candidates,2.0,5677383.0,5681780.0
Sobic.004G326400,proposed_anthracnose,candidates,4.0,68679922.0,68684764.0
Sobic.008G156600,proposed_anthracnose,candidates,8.0,61994635.0,61999510.0
Sobic.008G157400,proposed_anthracnose,candidates,8.0,62089009.0,62095524.0
Sobic.002G022600,proposed_anthracnose,candidates,2.0,2068840.0,2074983.0
Sobic.005G160400,proposed_anthracnose,candidates,5.0,68456818.0,68461496.0
Sobic.005G164200,proposed_anthracnose,candidates,5.0,69010216.0,69011753.0
Sobic.005G164300,proposed_anthracnose,candidates,5.0,69021137.0,69022843.0
Sobic.005G167600,proposed_anthracnose,candidates,5.0,69681953.0,69683773.0
Sobic.005G169200,proposed_anthracnose,candidates,5.0,69864013.0,69865805.0
Sobic.005G169300,proposed_anthracnose,candidates,5.0,69871911.0,69872748.0
Sobic.005G169400,proposed_anthracnose,candidates,5.0,69877071.0,69878067.0
Sobic.005G177400,proposed_anthracnose,candidates,,,
Sobic.005G177500,proposed_anthracnose,candidates,5.0,71026181.0,71027447.0
Sobic.005G177600,proposed_anthracnose,candidates,5.0,71039349.0,71040556.0
Sobic.005G181700,proposed_anthracnose,candidates,5.0,71520452.0,71524703.0
Sobic.005G182800,proposed_anthracnose,candidates,5.0,71657047.0,71661224.0
Sobic.005G183700,proposed_anthracnose,candidates,5.0,71970152.0,71971585.0
Sobic.005G183900,proposed_anthracnose,candidates,5.0,71979433.0,71986739.0
Sobic.005G186100,proposed_anthracnose,candidates,5.0,72168779.0,72172744.0
Sobic.005G192600,proposed_anthracnose,candidates,5.0,72729498.0,72730496.0
Sobic.005G193600,proposed_anthracnose,candidates,5.0,72805664.0,72807677.0
Sobic.005G195000,proposed_anthracnose,candidates,5.0,72954110.0,72959612.0
Sobic.005G209000,proposed_anthracnose,candidates,5.0,74685075.0,74688213.0
Sobic.005G209100,proposed_anthracnose,candidates,5.0,74709222.0,74711539.0
Sobic.005G212700,proposed_anthracnose,candidates,5.0,75001582.0,75002924.0
Sobic.005G213500,proposed_anthracnose,candidates,5.0,75098996.0,75101342.0
Sobic.005G219300,proposed_anthracnose,candidates,5.0,75718561.0,75731546.0
Sobic.005G220300,proposed_anthracnose,candidates,5.0,75848946.0,75854009.0
Sobic.005G223700,proposed_anthracnose,candidates,5.0,76143784.0,76153199.0
Sobic.005G224000,proposed_anthracnose,candidates,5.0,76257480.0,76261077.0
Sobic.005G224200,proposed_anthracnose,candidates,5.0,76276365.0,76281154.0
Sobic.005G224900,proposed_anthracnose,candidates,5.0,76346460.0,76347642.0
Sobic.005G226100,proposed_anthracnose,candidates,5.0,76478222.0,76479255.0
Sobic.005G226200,proposed_anthracnose,candidates,5.0,76494924.0,76496861.0
Sobic.005G226500,proposed_anthracnose,candidates,5.0,76541447.0,76542229.0
Sobic.005G229400,proposed_anthracnose,candidates,5.0,76826937.0,76831262.0
Sobic.005G229600,proposed_anthracnose,candidates,5.0,76839020.0,76842287.0
Sobic.006G158600,proposed_anthracnose,candidates,6.0,53113609.0,53117010.0
Sobic.006G158800,proposed_anthracnose,candidates,6.0,53119940.0,53121753.0
Sobic.006G159000,proposed_anthracnose,candidates,6.0,53127380.0,53128871.0
Sobic.006G158900,proposed_anthracnose,candidates,6.0,53125031.0,53127260.0
Sobic.001G242600,proposed_anthracnose,candidates,1.0,25287014.0,25288125.0
Sobic.001G528200,proposed_anthracnose,candidates,1.0,83388564.0,83391145.0
Sobic.008G042900,proposed_anthracnose,candidates,8.0,4353137.0,4355470.0
Sobic.008G043000,proposed_anthracnose,candidates,8.0,4362441.0,4363835.0
Sobic.008G043100,proposed_anthracnose,candidates,8.0,4367984.0,4369063.0
Sobic.001G122000,proposed_anthracnose,candidates,1.0,9693171.0,9703501.0
Sobic.001G298300,proposed_anthracnose,candidates,1.0,61997957.0,62003653.0
Sobic.008G020700,proposed_anthracnose,candidates,8.0,1874044.0,1875020.0
Sobic.002G330900,proposed_anthracnose,candidates,2.0,71277912.0,71281159.0
Sobic.004G273600,proposed_anthracnose,candidates,4.0,64268067.0,64270241.0
Sobic.007G105400,proposed_anthracnose,candidates,7.0,51335359.0,51338985.0
Sobic.003G281500,proposed_anthracnose,candidates,3.0,67974132.0,67983535.0
Sobic.005G024400,proposed_anthracnose,candidates,5.0,2227008.0,2237121.0
Sobic.006G040101,proposed_anthracnose,candidates,6.0,19717751.0,19722275.0
Sobic.001G097400,proposed_anthracnose,candidates,1.0,7561063.0,7565135.0
Sobic.003G325100,proposed_anthracnose,candidates,3.0,71481887.0,71483608.0
Sobic.009G082200,proposed_anthracnose,candidates,9.0,13280247.0,13284271.0
Sobic.005G095700,validated_other_disease,validated_all_diseases,5.0,15205201.0,15216830.0
Sobic.005G096300,validated_other_disease,validated_all_diseases,5.0,15399496.0,15405301.0
Sobic.005G092600,validated_other_disease,validated_all_diseases,5.0,14447942.0,14455734.0
Sobic.005G095000,validated_other_disease,validated_all_diseases,5.0,15117023.0,15121506.0
Sobic.005G095600,validated_other_disease,validated_all_diseases,5.0,15150747.0,15155305.0
Sobic.001G033400,validated_other_disease,validated_all_diseases,1.0,2552903.0,2558333.0
Sobic.001G421300,validated_other_disease,validated_all_diseases,1.0,74359754.0,74363267.0
Sobic.009G011700,validated_other_disease,validated_all_diseases,9.0,1061691.0,1065173.0
Sobic.001G339100,proposed_other_disease,candidates_all_diseases,1.0,66829442.0,66832658.0
Sobic.003G185000,proposed_other_disease,candidates_all_diseases,3.0,55974579.0,55980164.0
Sobic.003G018300,proposed_other_disease,candidates_all_diseases,3.0,1808708.0,1809261.0
Sobic.002G249000,proposed_other_disease,candidates_all_diseases,2.0,64926095.0,64930076.0
Sobic.010G126500,proposed_other_disease,candidates_all_diseases,10.0,16048595.0,16050404.0
Sobic.003G018600,proposed_other_disease,candidates_all_diseases,3.0,1795063.0,1798326.0
Sobic.001G111300,proposed_other_disease,candidates_all_diseases,1.0,8748519.0,8750840.0
Sobic.004G289700,proposed_other_disease,candidates_all_diseases,4.0,65606302.0,65607457.0
Sobic.002G224300,proposed_other_disease,candidates_all_diseases,2.0,62879934.0,62881671.0
Sobic.001G105900,proposed_other_disease,candidates_all_diseases,1.0,8185119.0,8187619.0
Sobic.001G459500,proposed_other_disease,candidates_all_diseases,1.0,77671760.0,77675636.0
Sobic.003G207500,proposed_other_disease,candidates_all_diseases,3.0,60103082.0,60110499.0
Sobic.005G049600,proposed_other_disease,candidates_all_diseases,5.0,4768189.0,4773715.0
Sobic.010G143900,proposed_other_disease,candidates_all_diseases,10.0,40301189.0,40304556.0
Sobic.002G142900,proposed_other_disease,candidates_all_diseases,2.0,23926896.0,23937195.0
Sobic.005G076301,proposed_other_disease,candidates_all_diseases,5.0,9552926.0,9559708.0
Sobic.002G019000,proposed_other_disease,candidates_all_diseases,2.0,1766490.0,1768485.0
Sobic.005G120201,proposed_other_disease,candidates_all_diseases,5.0,56852472.0,56853386.0
Sobic.001G459600,proposed_other_disease,candidates_all_diseases,1.0,77677480.0,77679350.0
Sobic.006G160500,proposed_other_disease,candidates_all_diseases,6.0,53252035.0,53253907.0
Sobic.002G007800,proposed_other_disease,candidates_all_diseases,2.0,735850.0,740346.0
Sobic.009G099450,proposed_other_disease,candidates_all_diseases,9.0,42221380.0,42223391.0
Sobic.003G351501,proposed_other_disease,candidates_all_diseases,,,
Sobic.008G070700,proposed_other_disease,candidates_all_diseases,8.0,9410925.0,9417165.0
Sobic.009G057200,proposed_other_disease,candidates_all_diseases,9.0,5887438.0,5892623.0
Sobic.002G147900,proposed_other_disease,candidates_all_diseases,2.0,38089738.0,38095842.0
Sobic.004G202700,proposed_other_disease,candidates_all_diseases,4.0,57969728.0,57971666.0
Sobic.002G174700,proposed_other_disease,candidates_all_diseases,2.0,56520960.0,56522875.0
Sobic.004G273200,proposed_other_disease,candidates_all_diseases,4.0,64229137.0,64234213.0
Sobic.004G319800,proposed_other_disease,candidates_all_diseases,4.0,68017696.0,68021404.0
Sobic.003G427400,proposed_other_disease,candidates_all_diseases,3.0,79474182.0,79475905.0
Sobic.001G430000,proposed_other_disease,candidates_all_diseases,1.0,75069836.0,75073435.0
Sobic.002G174300,proposed_other_disease,candidates_all_diseases,2.0,56442440.0,56444810.0
Sobic.009G241000,proposed_other_disease,candidates_all_diseases,9.0,61614129.0,61616715.0
Sobic.009G229900,proposed_other_disease,candidates_all_diseases,9.0,60845973.0,60849220.0
Sobic.009G233000,proposed_other_disease,candidates_all_diseases,9.0,61068278.0,61073021.0
Sobic.007G140900,proposed_other_disease,candidates_all_diseases,7.0,60328099.0,60332173.0
Sobic.002G261500,proposed_other_disease,candidates_all_diseases,2.0,65967030.0,65968114.0
Sobic.002G209600,proposed_other_disease,candidates_all_diseases,2.0,61434455.0,61447345.0
Sobic.007G163500,proposed_other_disease,candidates_all_diseases,7.0,63160544.0,63163966.0
Sobic.009G232300,proposed_other_disease,candidates_all_diseases,,,
Sobic.002G145400,proposed_other_disease,candidates_all_diseases,2.0,28042896.0,28046578.0
Sobic.003G099100,proposed_other_disease,candidates_all_diseases,3.0,8774795.0,8780883.0
Sobic.009G224200,proposed_other_disease,candidates_all_diseases,9.0,60442127.0,60443135.0
Sobic.004G332000,proposed_other_disease,candidates_all_diseases,4.0,69040472.0,69042258.0
Sobic.008G154100,proposed_other_disease,candidates_all_diseases,8.0,61770027.0,61773576.0
Sobic.008G098200,proposed_other_disease,candidates_all_diseases,,,
